"Table: FAD, LAD, Lifespan and Family of Planktonic Foraminifera",,,,,,,,,,,,,
Morphospecies name,FAD,LAD,Lifespan,Genus,Family,Morphogroup,Ecogroup,,,,,,
Acarinina africana,22.92,3.13,19.79,Acarinina,Globoquadrinidae,M7-globular,E1-With Symbionts,,,,,,
Acarinina alticonica,17.54,16.38,1.16,Acarinina,Globorotaliidae,"M16-globorotaliform, non-keeled",E1-With Symbionts,,,,,,
Acarinina angulosa,16.28,14.79,1.49,Acarinina,Globigerinidae,M4-spherical,E1-With Symbionts,,Table: Morphogroups,,,,
Acarinina aspensis,22.44,13.39,9.05,Acarinina,Globigerinidae,M2-globular,E1-With Symbionts,,,Morphogroup,Morphological Characterisitics,Morphogroup Identifier,
Acarinina boudreauxi,18.57,15.67,2.90,Acarinina,Globigerinidae,M3-globular with supplementary apertures,E1-With Symbionts,,Spinose ,Morphogroup 1,﻿ flat ,M1-flat,﻿Turborotalita 
Acarinina bullbrooki,17.27,9.83,7.44,Acarinina,Globigerinidae,M2-globular,E1-With Symbionts,,,Morphogroup 2,globular,M2-globular,"Subbotina, Globigerina, Globoturborotalita"
Acarinina coalingensis,17.27,4.81,12.46,Acarinina,Globigerinidae,M2-globular,E1-With Symbionts,,,Morphogroup 3,globular with supplementary apertures ,M3-globular with supplementary apertures,"Globigerinoides, Globigerinatheka, Guembilitriodes "
Acarinina collactea,15.96,14.49,1.47,Acarinina,Globigerinidae,M4-spherical,E1-With Symbionts,,,Morphogroup 4,spherical,M4-spherical,"Praeorbulina, Orbulina, Orbulinoides, Globigerinatheka"
Acarinina cuneicamerata,17.54,14.24,3.30,Acarinina,Globigerinidae,M3-globular with supplementary apertures,E1-With Symbionts,,,Morphogroup 5,clavate,M5-clavate,Beella
Acarinina echinata,16.27,14.79,1.48,Acarinina,Globigerinidae,M4-spherical,E1-With Symbionts,,,Morphogroup 6,planispiral ,M6-planispiral,Globigerinella 
Acarinina esnaensis,18.26,13.73,4.53,Acarinina,Globorotaliidae,"M16-globorotaliform, non-keeled",E1-With Symbionts,,Non-spinose,Morphogroup 7,globular,M7-globular,Globoquadrina
Acarinina esnehensis,18.18,0.00,18.18,Acarinina,Globigerinidae,M2-globular,E1-With Symbionts,,,Morphogroup 8,"globular, keeled ","M8-globular, keeled",Pulleniatina spectabilis 
Acarinina interposita,21.32,1.30,20.02,Acarinina,Globigerinidae,M3-globular with supplementary apertures,E1-With Symbionts,,,Morphogroup 9,planispiral,M9-planispiral,Pseudohastigerina
Acarinina mcgowrani,16.38,5.83,10.55,Acarinina,Globorotaliidae,"M14-globorotaliform, keeled",E1-With Symbionts,,,Morphogroup 10,tubulospinate,M10-tubulospinate,Hantkenina 
Acarinina mckannai,22.28,11.54,10.74,Acarinina,Globigerinidae,M3-globular with supplementary apertures,E1-With Symbionts,,,Morphogroup 11,keeled spines,M11-keeled spines,Astrorotalia
Acarinina medizzai,18.45,12.40,6.04,Acarinina,Globigerinidae,M7-globular,E1-With Symbionts,,,Morphogroup 12,"turborotaliform, keeled","M12-turborotaliform, keeled","Turborotalia,some Truncorotalia, Fohsella "
Acarinina nitida,22.28,16.84,5.45,Acarinina,Globigerinidae,M2-globular,E1-With Symbionts,,,Morphogroup 13,"turborotaliform, non-keeled ","M13-turborotaliform, non-keeled",Hedbergella
Acarinina pentacamerata,18.32,12.40,5.92,Acarinina,Globigerinidae,M3-globular with supplementary apertures,E1-With Symbionts,,,Morphogroup 14,"globorotaliform, keeled","M14-globorotaliform, keeled",Menardella
Acarinina praetopilensis,17.13,16.38,0.75,Acarinina,Globorotaliidae,"M13-turborotaliform, non-keeled",E1-With Symbionts,,,Morphogroup 15,"globorotaliform, anguloconical ","M15-globorotaliform, anguloconical",some Truncorotalia 
Acarinina primitiva,16.26,13.87,2.39,Acarinina,Globorotaliidae,"M14-globorotaliform, keeled",E1-With Symbionts,,,Morphogroup 16,"globorotaliform, non-keeled ","M16-globorotaliform, non-keeled",Hirsutella 
Acarinina pseudosubsphaerica,16.69,10.21,6.48,Acarinina,Globorotaliidae,"M14-globorotaliform, keeled",E1-With Symbionts,,,Morphogroup 17,"muricate, acarininiform","M17-muricate, acarininiform",Acarinina
Acarinina pseudotopilensis,16.38,3.16,13.22,Acarinina,Globigerinidae,M7-globular,E1-With Symbionts,,,Morphogroup 18,"muricocarinate, keeled","M18-muricocarinate, keeled","some Morozovella, Morozovelloides"
Acarinina punctocarinata,19.05,13.88,5.17,Acarinina,Globigerinidae,M2-globular,E1-With Symbionts,,,Morphogroup 19,"muricocarinate, anguloconical","M19-muricocarinate, anguloconical","some Morozovella, Morozovelloides"
Acarinina quetra,21.48,13.84,7.65,Acarinina,Globorotaliidae,"M13-turborotaliform, non-keeled",E1-With Symbionts,,,,,,
Acarinina rohri,21.88,16.38,5.50,Acarinina,Globigerinidae,M3-globular with supplementary apertures,E1-With Symbionts,,,,,,
Acarinina sibaiyaensis,22.44,8.07,14.37,Acarinina,Globorotaliidae,M7-globular,E1-With Symbionts,,,,,,
Acarinina soldadoensis,16.38,14.53,1.85,Acarinina,Globigerinidae,M4-spherical,E1-With Symbionts,,Table: Ecogroups,,,,
Acarinina strabocella,22.44,5.92,16.52,Acarinina,Globoquadrinidae,M7-globular,E1-With Symbionts,,﻿Ecogroup ,Ecological Characteristics,,Ecogorup Identifier,Signature
Acarinina subsphaerica,21.12,0.56,20.56,Acarinina,Globigerinidae,M2-globular,E1-With Symbionts,,E1-With Symbionts,"Open ocean mixed-layer tropical/ subtropical, with symbionts",,E1-With Symbionts,Very heavy δ13C and relatively light δ18O
